processed_review,sentiment_score,sentiment_label
love em love look convers half price uniqu ive never seen clear shoe like fit great plastic take littl get use style worth,0.9532,1
plastic rip shoe cute 2nd day wear tongu start rip 3rd day wear plastic side rip could rip bc wear work lot walk work your go buy dont recommend wear day lot walk might rip,0.224,1
good qualiti good qualiti,0.7003,1
good great,0.7906,1
perfect chose white model finish behind black say close shoe even beauti number 38 385 order number 38 fine quickli packag arriv beforeth expect excel price sinc cost least 10 15 euro around,0.8442,1
disappoint use buy guess shoe never problem size case howev got shoe despit usual number take small seem almost two le number enter,0.0408,1
beauti shoe beauti fit perfectli,0.3612,1
nice comfort simpli perfecti use plant tailor flat foot insid shoe perfectli perfectth shoe comfort good stabil footadvis,0.8658,1
beauti bad number shoe beauti arriv perfect condit impecc expedit unfortun 41 tight dont make 42 return seller avail kind,0.5994,1
well made shoe excel seller shoe well done seller precis make return refund perfectlygood boystay favorit,0.7351,1
comfort shoe shoe goodit super comfort lighti pleasedthank,0.836,1
perfect perfect shoe realli beauti girlfriend appreci help seller,0.8779,1
great gorgeou mayb littl big sure wrong,0.5106,1
wonder nice like photo comfort combin anyth satisfi thank,0.8519,1
perfect right outta box true size id probabl go lower end ie 885 go 8 wore right box littl 2 hour walk around incred comfort rub find issu tongu stiff seen mention review,0.7783,1
disappoint second pair bought love first pair howev plea 2nd pair pad tongu part shoe caus irrit skin rub disappoint buy,-0.0516,0
wow love shoe much second pair pure comfort thank amazon,0.9287,1
comfort attract hard fit foot often wide fit shoe look big bulki shoe comfort right away pressur point use run around shoe go store etc look casual attract run shoe nice round toe box go kind outfit happi,0.9618,1
cute lot unfortun foot brand develop sizeth design cute satisfi comfort unfortunatether small size part seem divert larg size velo long rub everi time ankl bent scratch ng sneaker sock distanc heel insol arch arch long arch near toethi time feel center graviti tri wear sock insol dont repeat even cute,0.8885,1
right foot fit size 11 fine left foot realli need 11 12 shoe come half size right foot fit size 11 fine left foot issu blue insol foot perspir blue colour run sock also round lace look nice remain tie need knot bow maintain tie attract shoe look huge size 12 thank chl,0.9403,1
light comfortableat first littl hard easi wear immedi light easi walk,-0.1027,0
great qualiti comfort shoe great qualiti comfort shoesi thrill got new shoe last week bought pair ravon shoe two year ago expens shoe store regret spend money perfect walk shoe gave plenti support bunion left big toe plenti room foot tmi new one like old pair far comfort keepi got balanc way origin pair 2 12 year old still good use mow grass feel safe walk want new one need pretti one werent grungi look 67and balanc ver import highli recommend shoe wonder qualiti comfort got sale deal feel like lotteri also neglect mention classi look wellmad beauti strike,0.985,1
support run would recommend run zero support could feel rock ground shoe also shape realli weird sole protrud back around heel make foot appear much larger,0.7351,1
support hope shoe cute onlin personnot muchth shoe super light weight flimsi feel feel supportstabilitymi partial orthot fit well heel shoeth shoe aquacolor accent shoe string eyelet also aqua liner throughout shoe slip sock foot shoe first time inner liner sort bunch made shoe top look distort liner push forward caus upper portion toe shoe twist upward nice look point decid didnt want struggl get shoe time im return,0.953,1
great pair shoe comfort absolut love look feel shoe run slightli big doesnt take away comfort im slide around insid im abl work well workout great excel pair shoe,0.9702,1
cant wear due poorli design insol like style weight shoe right wear day good qualiti compon howev review said insol make wear shoe imposs surfac insol attract sued fabric look like comfort fact fabric prevent foot slide shoe forc foot toe uncomfort turn selv could possibl wear shoe like tri stock differ type sock difficulti could push foot smoothli shoe tri take insol anoth pair sneaker put aragon foot slid right walk arch support dilemma send back go buy 6 7 set insol drug store see work disappoint,0.9153,1
tongu rub ankl raw tongu long stiff rough rub ankl raw,0.0,1
look tri find casual casual shoe work want athlet shoe fit shoe doesnt look like athlet shoe pretti close work well chino color denim would look right dress pant busi casual good im alway 8 85 went 8 fit perfectli also need good support reason anoth pair aravon shoe mari jane also work well think good brand,0.9647,1
slipperi surfacesno tread thought realli cute fit good decid wear around day mop floor like everi day almost slip shoe good lifestyl slipperi pretti much tread would good walk long your never honest servic wouldnt want take chanc back search new pair shoe,0.9149,1
frequent enough certain sock becom annoy stop pull sock id give 5 star werent fact materi insid shoe keep pull sock time frequent enough certain sock becom annoy stop pull sock find way shoe walk 1015 min also lace dont seem stay tie recommend buy sock realli snug around ankl use differ pair lace besid think shoe realli cute love choic brown blue think work well togeth also shoe pretti good support use insert fit well shoe like said dont origin insert pretti good,0.9607,1
